"","entity_id","name","min"
"1","101106","Andrew Bogut",175
"2","101107","Marvin Williams",1756
"3","101108","Chris Paul",2037.6
"4","101109","Raymond Felton",872
"5","101112","Channing Frye",518
"6","101123","Gerald Green",1201
"7","101127","Jarrett Jack",1548
"8","101133","Ian Mahinmi",817
"9","101139","CJ Miles",784.333333333333
"10","101141","Ersan Ilyasova",1023.75
"11","101150","Lou Williams",1731.4
"12","101161","Amir Johnson",849.5
"13","101162","Marcin Gortat",1413
"14","101181","Jose Calderon",773
"15","1626143","Jahlil Okafor",525.5
"16","1626144","Emmanuel Mudiay",1233.66666666667
"17","1626145","Tyus Jones",1390.8
"18","1626147","Justin Anderson",350
"19","1626149","Montrezl Harrell",1671.4
"20","1626150","Andrew Harrison",756
"21","1626151","Aaron Harrison",233
"22","1626153","Delon Wright",1563
"23","1626154","RJ Hunter",35.5
"24","1626155","Sam Dekker",836
"25","1626156","D'Angelo Russell",1675.6
"26","1626157","Karl-Anthony Towns",2149.4
"27","1626158","Richaun Holmes",1205.6
"28","1626159","Justise Winslow",1054.8
"29","1626161","Willie Cauley-Stein",1288.8
"30","1626162","Kelly Oubre Jr.",1938.8
"31","1626163","Frank Kaminsky",852.6
"32","1626164","Devin Booker",2230.8
"33","1626166","Cameron Payne",758
"34","1626167","Myles Turner",1694.2
"35","1626168","Trey Lyles",1123.8
"36","1626169","Stanley Johnson",1044.8
"37","1626170","Jerian Grant",901.666666666667
"38","1626171","Bobby Portis",1531.6
"39","1626172","Kevon Looney",1100.8
"40","1626173","Rashad Vaughn",212
"41","1626174","Christian Wood",1248.75
"42","1626175","Jordan Mickey",284
"43","1626177","Dakari Johnson",161
"44","1626178","Rondae Hollis-Jefferson",1096
"45","1626179","Terry Rozier",2148.4
"46","1626181","Norman Powell",1456.8
"47","1626184","Chasson Randle",540
"48","1626185","Jarell Martin",994.5
"49","1626187","Michael Frazier",145
"50","1626188","Quinn Cook",616
"51","1626191","Chris McCullough",90
"52","1626192","Pat Connaughton",1439.2
"53","1626195","Willy Hernangomez",652.4
"54","1626196","Josh Richardson",2042.8
"55","1626199","Darrun Hilliard",95
"56","1626202","Joe Young",558
"57","1626203","Treveon Graham",897.666666666667
